Glossar - Rohzutaten,,,,,,,,,,,,,,
Kategorie,Name DE,Name EN,CO₂ / 1.6FU (ohne Flug) ,g CO2 / 100g (ohne Flug) ,CO2 Base Value [g] ,Summe Transport für 1.6 FU,CO2 Land Transport [g] ,CO2 Sea Transport [g] ,CO2 Air Transport [g],Food Unit ,Energy [kcal] ,kcal für 1.6FU,Gewicht für 1.6 FU,Name FR
vegetables & mushrooms,Schwarzwurzel,Salsify,211,17.70,15,32,2.7,0,0,0.134,52.82,631,1194,Salsifis noir
vegetables & mushrooms,Sauerkraut,Sauerkraut,1024,57.59,44.59,231,13.0,0,0,0.09,19.11,340,1778,Choucroute
vegetables & mushrooms,Wirsing,Savoy cabbage,382,29.88,25,62,4.9,0,0,0.125,30.83,395,1280,Chou de Savoie
vegetables & mushrooms,Algen,Seaweed,1027,89.87,36,616,27.8,26.06,0,0.14,53.26,609,1143,Algues
vegetables & mushrooms,Schalotte,Shallot,425,37.19,35,25,2.2,0,0,0.14,12.76,146,1143,Échalote
vegetables & mushrooms,Spinat,Spinach,182,13.65,11,35,2.7,0,0,0.12,22.69,303,1333,Epinards
vegetables & mushrooms,Frühlingszwiebeln,Spring onions,541,37.19,35,32,2.2,0,0,0.11,33.2,483,1455,Oignons nouveaux
vegetables & mushrooms,Sprossen,Sprouts,208,26.00,13,104,13.0,0,0,0.2,54.93,439,800,Sprouts
vegetables & mushrooms,Zuckerhut,Sugar loaf,483,27.18,21,110,6.2,0,0,0.09,14.03,249,1778,Pain de sucre
vegetables & mushrooms,Tomaten,Tomatoes,525,26.26,20,125,5.8,0.43,25.94,0.08,21.26,425,2000,Tomates
vegetables & mushrooms,Trüffel,Truffle,838,104.73,100,38,4.7,0,0,0.2,31.05,248,800,Truffes
vegetables & mushrooms,Kohlrabi,Turnip cabbage,426,27.70,25,42,2.7,0,0,0.104,27,415,1538,Chou-rave
vegetables & mushrooms,Steckrüben,Turnips,432,29.70,27,39,2.7,0,0,0.11,15.18,221,1455,Navet
vegetables & mushrooms,Gemüse,Vegetables,620,34.90,29,105,5.9,0,0,0.09,26.75,476,1778,Légumes
vegetables & mushrooms,Rispentomaten,Vine tomatoes,505,25.26,19,125,5.8,0.43,25.94,0.08,21.26,425,2000,Tomates de vigne
vegetables & mushrooms,Brunnenkresse,Watercress,509,31.81,21,173,7.8,3.00,179.77,0.1,16.96,271,1600,Cresson
vegetables & mushrooms,Weisser Spargel,White asparagus,1075,80.63,64,222,10.7,5.95,357.12,0.12,20.15,269,1333,Asperges blanches
vegetables & mushrooms,Weisskohl,White cabbage,435,29.88,25,71,4.9,0,0,0.11,23.66,344,1455,Chou blanc
vegetables & mushrooms,Wilde Pilze,Wild mushrooms,392,36.73,32,50,4.7,0,0,0.15,25.22,269,1067,Champignons sauvages
vegetables & mushrooms,Mu-Err Pilze,Wood-ear fungus,2469,169.73,165,69,4.7,0,0,0.11,25.08,365,1455,Champignons Oreille-de-Judas
vegetables & mushrooms,Zucchini,Zucchini,360,22.48,19,56,3.5,0,0,0.1,16.62,266,1600,Courgette
