Glossar - Rohzutaten,,,,,,,,,,,,,,
Kategorie,Name DE,Name EN,CO₂ / 1.6FU (ohne Flug) ,g CO2 / 100g (ohne Flug) ,CO2 Base Value [g] ,Summe Transport für 1.6 FU,CO2 Land Transport [g] ,CO2 Sea Transport [g] ,CO2 Air Transport [g],Food Unit ,Energy [kcal] ,kcal für 1.6FU,Gewicht für 1.6 FU,Name FR
fish & seafood,Blaubarsch,Bluefish,629,373.37,335,65,24.8,13.58,0,0.95,353.01,595,168,Tassergal
fish & seafood,Goldbrasse,Bream,1035,413.87,360,135,27.8,26.06,0,0.64,185.1,463,250,Dorade royale
fish & seafood,Claressefilet,Claresse filet,2631,805.87,752,176,27.8,26.06,0,0.49,101.75,332,327,Filet de Claresse
fish & seafood,Seelachs,Coalfish,2055,513.87,460,215,27.8,26.06,0,0.4,71.18,285,400,Saithe
fish & seafood,Kabeljau,Cod,1912,513.87,460,200,27.8,26.06,0,0.43,76.91,286,372,Morue
fish & seafood,Dorsch,Codfish,1912,513.87,460,200,27.8,26.06,0,0.43,76.91,286,372,Morue
fish & seafood,Krebse,Crayfish,11985,2471.87,2418,261,27.8,26.06,0,0.33,47.17,229,485,Crabes
fish & seafood,Aal,Eel,676,388.87,335,94,27.8,26.06,0,0.92,373.08,649,174,Anguille
fish & seafood,Fisch,Fish,1244,388.87,335,172,27.8,26.06,0,0.5,126.83,406,320,Poisson
fish & seafood,Flunder,Flounder,1555,388.87,335,215,27.8,26.06,0,0.4,73.09,292,400,Flet
fish & seafood,Seehecht,Hake,1518,388.87,335,210,27.8,26.06,0,0.41,71.65,280,390,Colin
fish & seafood,Heilbutt,Halibut,1152,388.87,335,160,27.8,26.06,0,0.54,117.99,350,296,Flétan
fish & seafood,Hering,Herring,670,263.87,210,137,27.8,26.06,0,0.63,199.68,507,254,Harengs
fish & seafood,Hummer,Lobster,14648,2471.87,2418,319,27.8,26.06,0,0.27,31.5,187,593,Homard
fish & seafood,Schnapper,Lutjanidae,1004,388.87,335,139,27.8,26.06,0,0.62,167.43,432,258,Snapper
fish & seafood,Makrele,Mackerel,385,228.37,190,65,24.8,13.58,0,0.95,353.01,595,168,Maquereau
fish & seafood,Austern,Oysters,3615,338.87,285,575,27.8,26.06,0,0.15,9.9,106,1067,Huîtres
fish & seafood,Eglifilet,Perch fillet,596,163.87,110,196,27.8,26.06,0,0.44,79.3,288,364,Filet de perche
fish & seafood,Zander,Pike perch,528,148.37,110,136,24.8,13.58,0,0.45,81.69,290,356,Sandre et perche
fish & seafood,Scholle,Plaice,1353,388.87,335,187,27.8,26.06,0,0.46,85.75,298,348,Plie
fish & seafood,Lachs,Salmon,1757,713.87,660,133,27.8,26.06,0,0.65,181.52,447,246,Saumon
fish & seafood,Lachsforelle,Salmon trout,1388,433.87,380,172,27.8,26.06,0,0.5,126.83,406,320,Truite saumonée
